,Loss,AUROC,AUPRC
0,0.3240382807149041,0.7750381560313222,0.6403513072765835
1,0.09861445943674733,0.9608335007009501,0.9446146282612298
2,0.07893076857491847,0.9560825185665489,0.93984198388851
3,0.075708286956914,0.9554213871152654,0.9380720545292387
4,0.07491786339350286,0.9533223509877983,0.9354208210612539
5,0.0750733832077634,0.9509653856753498,0.9332883645051521
6,0.07263598260619948,0.9560437414091161,0.9396653978855942
7,0.07160394031914973,0.9572353908999273,0.941189784189334
8,0.07260320822317753,0.9560778082864381,0.9393751540963855
9,0.07252786248441666,0.9572673749999173,0.9417609720329457
10,0.07304498727523512,0.9594013553295999,0.9440909531310714
11,0.07033812410889133,0.9560428562662967,0.9398136629685242
12,0.0716441631196968,0.9572313139616704,0.9410977393653127
13,0.0705890139985469,0.9598097570662676,0.9441645543761008
14,0.07059455146231959,0.9603383458296199,0.9450599923454209
15,0.06816420758203152,0.9619471576977227,0.9468539502133336
16,0.07004261028862768,0.9626962699086287,0.9479492231076397
17,0.06831587538603813,0.9643292616611191,0.950322056975843
18,0.06881825109162638,0.9683757814026158,0.9559115726641784
19,0.06954308773481077,0.9662234294969307,0.9526603862815357
